NCLOC;DCP;NOCom;WMC;;Rang NCLOC;Rang DCP;Rang NOCom;Rang WMC
203;54,38;6;43;;135;387;259;158
70;68,33;7;42;;318;222;211;164
28;72;3;12;;439;198;466;422
5;91,23;4;12;;574;35;380;422
11;86,25;3;7;;490;139;466;539
5;91,23;3;9;;574;35;466;482
1459;37,27;13;461;;5;610;51;4
136;55,7;7;37;;209;370;211;204
78;56,91;4;22;;302;357;380;303
8;85,96;3;8;;512;145;466;507
5;89,13;3;7;;574;78;466;539
127;60,68;14;45;;218;297;42;143
42;67,19;6;13;;400;229;259;404
13;90,78;3;14;;467;45;466;388
50;57,98;4;15;;376;346;380;376
4;91,49;2;6;;617;26;539;594
4;91,49;3;9;;617;26;466;482
4;90,7;3;6;;617;50;466;594
5;89,8;5;9;;574;66;311;482
79;64,25;12;39;;295;255;62;188
9;84,48;2;6;;507;150;539;594
5;90,74;3;9;;574;47;466;482
11;85,9;6;11;;490;146;259;446
8;86,21;2;8;;512;142;539;507
4;91,49;2;7;;617;26;539;539
109;60,07;5;23;;245;308;311;295
96;48,39;2;21;;268;491;539;315
4;91,49;4;8;;617;26;380;507
72;50;4;18;;312;460;380;349
4;90,24;2;4;;617;58;539;632
85;51,43;4;17;;282;435;380;355
6;86,96;3;5;;531;131;466;631
156;50,32;4;39;;183;456;380;188
102;45,45;7;26;;257;536;211;277
56;58,52;8;14;;357;334;165;388
149;52,7;8;41;;192;419;165;171
244;47,19;7;59;;98;506;211;99
4;92;4;6;;617;11;380;594
84;44,37;9;20;;285;546;139;324
5;90,38;5;6;;574;56;311;594
8;91,01;5;16;;512;40;311;366
12;88,35;6;16;;474;105;259;366
72;48,94;9;12;;312;481;139;422
49;54,21;7;11;;378;391;211;446
162;43,55;16;42;;176;558;25;164
196;53,77;8;57;;142;400;165;108
6;91,43;4;7;;531;31;380;539
6;88,68;5;6;;531;90;311;594
12;80,65;2;6;;474;167;539;594
12;80,65;2;6;;474;167;539;594
12;80,65;2;6;;474;167;539;594
12;80,33;2;6;;474;173;539;594
12;80,95;2;6;;474;164;539;594
12;79,66;2;6;;474;176;539;594
110;44,72;7;29;;242;543;211;254
24;88,99;4;28;;447;82;380;259
125;52,47;7;21;;223;425;211;315
17;89,7;5;37;;458;71;311;204
412;52,59;8;70;;45;422;165;75
239;54,3;7;69;;101;388;211;81
196;48,42;7;45;;142;490;211;143
363;46,93;8;63;;59;514;165;90
62;60,26;3;12;;341;307;466;422
213;54,19;8;64;;125;392;165;88
6;88,46;5;6;;531;99;311;594
65;60,37;6;13;;332;303;259;404
8;87,88;4;13;;512;112;380;404
223;32,42;4;44;;115;628;380;150
130;49,81;7;33;;215;464;211;223
188;58,41;10;54;;149;338;109;111
9;88,75;4;11;;507;88;380;446
234;44,29;5;54;;106;549;311;111
44;70,07;5;16;;394;208;311;366
187;57,01;11;39;;150;355;88;188
403;53,14;4;96;;46;410;380;47
111;57,31;4;23;;241;351;380;295
197;55,53;9;44;;140;373;139;150
194;52,91;8;41;;145;414;165;171
207;53,79;9;41;;130;398;139;171
239;51,72;8;53;;101;430;165;118
165;44,26;8;44;;175;551;165;150
59;59,03;5;14;;345;319;311;388
51;60,47;6;11;;373;299;259;446
38;70,08;6;12;;414;207;259;422
187;58,81;12;48;;150;324;62;130
198;55;11;43;;138;378;88;158
110;69,53;12;47;;242;214;62;134
196;53,33;9;46;;142;406;139;139
91;54,73;6;21;;273;381;259;315
6;89,47;5;7;;531;75;311;539
6;87,5;7;6;;531;115;211;594
6;87,76;3;7;;531;113;466;539
66;60,71;7;16;;328;295;211;366
221;48;12;40;;117;498;62;182
207;49,64;12;58;;130;468;62;104
606;48,29;19;192;;26;493;17;13
323;51,28;18;85;;71;437;20;55
66;65,26;10;13;;328;245;109;404
127;47,08;4;30;;218;511;380;242
230;59;11;72;;110;320;88;71
302;49,24;9;75;;74;475;139;69
141;61,68;10;36;;203;281;109;212
6;88,68;2;6;;531;90;539;594
4;92,31;3;7;;617;7;466;539
5;91,53;5;9;;574;25;311;482
6;91,3;4;7;;531;33;380;539
48;60,33;3;13;;384;305;466;404
56;58,21;5;13;;357;342;311;404
74;54,04;5;14;;309;395;311;388
9;84,21;3;8;;507;151;466;507
