NCLOC;DCP;NOCom;WMC;;;;;;;;;;;;;;
59;59,03;5;14;;;;;;;;;;;;;;
51;60,47;6;11;;;;;;;;;;;;;;
38;70,08;6;12;;;;;;;;;;;;;;
187;58,81;12;48;;;;;;;;;;;;;;
198;55;11;43;;;;;;;;;;;;;;
110;69,53;12;47;;;;;;;;;;;;;;
196;53,33;9;46;;;;;;;;;;;;;;
91;54,73;6;21;;;;;;;;;;;;;;
6;89,47;5;7;;;;;;;;;;;;;;
6;87,5;7;6;;;;;;;;;;;;;;
6;87,76;3;7;;;;;;;;;;;;;;
66;60,71;7;16;;;;;;;;;;;;;;
221;48;12;40;;;;;;;;;;;;;;
207;49,64;12;58;;;;;;;;;;;;;;
606;48,29;19;192;;;;;;;;;;;;;;
323;51,28;18;85;;;;;;;;;;;;;;
66;65,26;10;13;;;;;;;;;;;;;;
127;47,08;4;30;;;;;;;;;;;;;;
230;59;11;72;;;;;;;;;;;;;;
302;49,24;9;75;;;;;;;;;;;;;;
141;61,68;10;36;;;;;;;;;;;;;;
6;88,68;2;6;;;;;;;;;;;;;;
4;92,31;3;7;;;;;;;;;;;;;;
